1;3600.07;19509111.10;2.64;0.37;3600.08;19521220.02;2.55;0.43;;19436700.18
2;3600.12;22153300.29;4.77;3.39;3600.15;22062434.37;4.38;2.99;;21403410.11
3;3600.06;22654673.18;2.18;0.19;3600.07;22627228.74;1.67;0.07;;22611988.67
4;3600.10;26977790.42;10.95;9.39;3600.12;25957849.97;7.45;5.83;;24445688.02
5;3600.04;23791669.01;3.59;1.30;3600.05;23804774.66;3.50;1.35;;23482483.25
6;3600.15;25102631.11;3.81;1.33;3600.18;24928381.90;3.14;0.64;;24768927.72
7;3600.01;8555171.40;1.62;0.00;3600.01;8555171.40;1.67;0.00;;8555171.40
8;3600.02;8806839.00;1.38;0.00;3600.02;8806839.00;1.32;0.00;;8806838.99
9;3600.01;11159487.98;1.94;9.88;3600.01;11159487.98;1.99;9.88;;10056670.31
10;3600.02;10303320.45;1.48;0.00;3600.02;10303320.45;1.51;0.00;;10303320.51
12;3600.01;9009167.55;3.20;4.49;3600.01;9009167.55;3.33;4.49;;8604208.93
13;3600.02;8933494.43;0.78;0.00;3600.02;8933494.43;0.94;0.00;;8933494.59
14;3600.01;10377051.63;3.20;1.96;3600.01;10377051.63;3.25;1.96;;10173931.59
15;3600.02;10348430.55;1.32;0.00;3600.02;10348430.55;1.50;0.00;;10348430.63
16;3600.01;8054844.90;7.16;0.00;3600.01;8054844.90;7.49;0.00;;8054844.90
17;3600.02;8560008.61;5.30;0.00;3600.02;8560008.61;5.38;0.00;;8560008.68
18;3600.01;8357195.91;9.43;0.00;3600.01;8357195.91;9.73;0.00;;8357195.91
19;3600.02;9208903.51;6.45;0.33;3600.02;9208903.51;6.56;0.33;;9178499.88
20;3600.05;40207339.57;12.76;3.06;3600.05;-;-;-;;38977593.84
21;3600.09;-;-;-;3600.12;45220170.96;8.78;0.80;;44857986.73
26;3600.06;5000023872096.17;14.29;100.00;3600.08;5000023555694.02;14.29;100.00;;22337935.84
27;3600.20;24058864.39;7.65;2.90;3600.22;24020158.41;7.50;2.74;;23362025.61
28;3600.05;5000027868351.08;14.29;100.00;3600.06;5000027340717.45;14.29;100.00;;26637602.25
29;3600.12;-;-;-;3600.14;-;-;-;;27295289.87
