;vns;gap;annealing;gap;"fischetti best sol; tab 7 report"
1; 22198897.67 ;12.44; 20514419.34 ;5.25;19436700.18
2; 23317581.97 ;8.21; 23660016.06 ;9.54;21403410.11
3; 27255268.38 ;17.04; 25759529.15 ;12.22;22611988.67
4; 28266065.62 ;13.52; 27491342.61 ;11.08;24445688.02
5; 31661232.06 ;25.83; 27482670.99 ;14.56;23482483.25
6;-;-; 26330480.07 ;5.93;24768927.72
7; 8562852.92 ;0.09; 8588547.52 ;0.39;8555171.40
8; 8809664.96 ;0.03; 8819918.29 ;0.15;8806838.99
9; 11949759.75 ;15.84; 13040367.45 ;22.88;10056670.31
10; 10303477.14 ;0.00; 10554806.92 ;2.38;10303320.51
12; 9609993.31 ;10.47; 9378158.57 ;8.25;8604208.93
13; 8933494.43 ;0.00; 9771466.67 ;8.58;8933494.59
14; 11069102.24 ;8.09; 10802067.47 ;5.81;10173931.59
15; 10348430.55 ;0.00; 10392104.55 ;0.42;10348430.63
16; 8054844.90 ;0.00; 8499654.19 ;5.23;8054844.90
17; 8560008.61 ;0.00; 8676395.29 ;1.34;8560008.68
18; 8357195.91 ;0.00; 10439670.97 ;19.95;8357195.91
19; 9178499.87 ;0.00; 11478140.50 ;20.03;9178499.88
20; 56698315.12 ;31.25;- ;-;38977593.84
21; 63237214.55 ;29.06;- ;-;44857986.73
26;-;-;- ;-;22337935.84
27; 26068127.29 ;10.38;- ;-;23362025.61
28;-;-;- ;-;26637602.25
29;-;-;- ;-;27295289.87
