;tab1;tab1;tab2;tab2;tab3;tab3;tab4;tab4;tab5;tab5;best;%error;fischettibestsol,tab7report
1;1000000000000.00;1000000000000.00;19559267.17;19860054.16;1000000000000.00;19749588.25;19632158.38;19659116.23;19483677.42;21008139.57;19483677.42;0.24;19436700.18
2;1000000000000.00;21618732.80;22216106.15;21662834.68;1000000000000.00;21550352.10;21553383.25;21547248.31;21435793.83;21889602.31;21435793.83;0.15;21403410.11
3;1000000000000.00;23435053.30;22648815.23;23482131.84;22626532.48;22729518.81;23986919.48;22922150.76;22623125.10;24651644.92;22623125.10;0.05;22611988.67
4;1000000000000.00;24534732.77;1000000000000.00;24643351.66;1000000000000.00;24448485.49;24832342.52;25034512.98;24458573.26;26351353.15;24448485.49;0.01;24445688.02
5;1000000000000.00;23579557.79;23505766.00;23943705.30;23636044.45;24695100.38;23650237.11;25249971.32;1000000000000.00;27075365.78;23505766.00;0.10;23482483.25
6;1000000000000.00;25425145.34;25137860.28;25292891.71;1000000000000.00;24934641.85;24929118.77;24833083.68;24884405.79;25002004.97;24833083.68;0.26;24768927.72
7;8555171.40;8555171.40;8555171.40;8555171.40;8555171.40;8555171.40;8555171.40;8555171.40;8555171.40;8555171.40;8555171.40;0.00;8555171.4
8;8806839.00;8806839.00;8806839.00;8806839.00;8806839.00;8806839.00;8806839.00;8806839.00;8806839.00;8806839.00;8806839.00;0.00;8806838.99
9;11159487.98;11159487.98;11159487.98;11159487.98;11159487.98;11159487.98;11159487.98;11159487.98;11159487.98;11159487.98;11159487.98;9.88;10056670.31
10;10303320.45;10303320.45;10303320.45;10303320.45;10303320.45;10303320.45;10303320.45;10303320.45;10303320.45;10303320.45;10303320.45;0.00;10303320.51
12;9009167.55;9009167.55;9009167.55;9009167.55;9009167.55;9009167.55;9009167.55;9009167.55;9009167.55;9009167.55;9009167.55;4.49;8604208.93
13;8933494.43;8933494.43;8933494.43;8933494.43;8933494.43;8933494.43;8933494.43;8933494.43;8933494.43;8933494.43;8933494.43;0.00;8933494.59
14;10377051.63;10377051.63;10377051.63;10377051.63;10377051.63;10377051.63;10377051.63;10377051.63;10386592.32;10377051.63;10377051.63;1.96;10173931.59
15;10348430.55;10348430.55;10348430.55;10348430.55;10348430.55;10348430.55;10352340.09;10348430.55;10352340.09;10352340.09;10348430.55;0.00;10348430.63
16;8054844.90;8054844.90;8054844.90;8054844.90;8054844.90;8054844.90;8073836.94;8073836.94;8073836.94;8073836.94;8054844.90;0.00;8054844.9
17;8560008.61;8560008.61;8560008.61;8560008.61;8560008.61;8560008.61;8560008.61;8560008.61;8560008.61;8560008.61;8560008.61;0.00;8560008.68
18;8357195.91;8357195.91;8357195.91;8357195.91;8357195.91;8357195.91;8422769.68;8357195.91;8422769.68;8422769.68;8357195.91;0.00;8357195.91
19;9178499.87;9178499.87;9178499.87;9208903.51;9178499.87;9178499.87;9263066.88;9263066.88;9263066.88;9263066.88;9178499.87;0.00;9178499.88
20;40353494.94;40360244.69;1000000000000.00;1000000000000.00;39542995.50;1000000000000.00;1000000000000.00;1000000000000.00;39767793.60;1000000000000.00;39542995.50;1.43;38977593.84
21;45029891.88;45160287.42;1000000000000.00;1000000000000.00;46044653.02;1000000000000.00;45421513.36;1000000000000.00;1000000000000.00;1000000000000.00;45029891.88;0.38;44857986.73
26;1000000000000.00;1000000000000.00;1000000000000.00;1000000000000.00;23519223.85;6000023952892.77;1000000000000.00;1000000000000.00;1000000000000.00;6000027880089.92;23519223.85;5.02;22337935.84
27;1000000000000.00;1000000000000.00;23377606.51;1000000000000.00;23477937.31;23504338.44;1000000000000.00;1000000000000.00;1000000000000.00;24566313.96;23377606.51;0.07;23362025.61
28;1000000000000.00;1000000000000.00;1000000000000.00;1000000000000.00;27090205.48;1000000000000.00;5000030087342.53;5000028567775.30;5000027219941.76;5000033252284.10;27090205.48;1.67;26637602.25
29;1000000000000.00;1000000000000.00;1000000000000.00;1000000000000.00;26546403.57;1000000000000.00;1000000000000.00;1000000000000.00;27252951.74;1000000000000.00;26546403.57;-2.82;27295289.87
